Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,VINC,0.9,0.975,0.83,0.835,120620.0
2022-11-14,VINC,0.85,0.8685,0.83,0.8302,137886.0
2022-11-15,VINC,0.857,0.87,0.8,0.8168,977227.0
2022-11-16,VINC,0.84,0.84,0.79,0.8019,923023.0
2022-11-17,VINC,0.79,0.8244,0.79,0.81,62323.0
2022-11-18,VINC,0.7901,0.7995,0.771,0.771,74251.0
2022-11-21,VINC,0.77,0.776,0.7116,0.7116,74121.0
2022-11-22,VINC,0.71,0.739599,0.7,0.7,74532.0
2022-11-23,VINC,0.7599,0.7614,0.6811,0.7101,49715.0
2022-11-25,VINC,0.697,0.709999,0.68,0.6821,10677.0
2022-11-28,VINC,0.7,0.71,0.675,0.69,89972.0
2022-11-29,VINC,0.7,0.71,0.651,0.6748,152947.0
2022-11-30,VINC,0.66,0.71,0.659999,0.7,81995.0
2022-12-01,VINC,0.7073,0.73,0.65,0.71,531822.0
2022-12-02,VINC,0.7455,0.7455,0.680101,0.72,62571.0
2022-12-05,VINC,0.69,0.74,0.661,0.7,74402.0
2022-12-06,VINC,0.7199,0.7199,0.662,0.69,31633.0
2022-12-07,VINC,0.662001,0.69,0.65,0.68,60415.0
2022-12-08,VINC,0.652949,0.66995,0.635,0.65,122474.0
2022-12-09,VINC,0.65,0.6899,0.6311,0.6435,159893.0
2022-12-12,VINC,0.67,0.7,0.6315,0.68,399728.0
2022-12-13,VINC,0.7291,1.13,0.68,1.08,4700710.0
2022-12-14,VINC,0.92,0.957,0.8,0.87,1491945.0
2022-12-15,VINC,0.85,0.85,0.7126,0.8062,572567.0
2022-12-16,VINC,0.7801,0.86,0.78,0.825,109159.0
2022-12-19,VINC,0.8002,0.8219,0.8,0.8088,137334.0
2022-12-20,VINC,0.8,0.849899,0.8,0.8399,89615.0
2022-12-21,VINC,0.82,0.9199,0.82,0.85,96050.0
2022-12-22,VINC,0.88,0.88,0.82,0.88,105203.0
2022-12-23,VINC,0.88,1.1,0.82,0.9804,407634.0
2022-12-27,VINC,1.02,1.09,0.98,1.05,137578.0
2022-12-28,VINC,1.09,1.09,0.93,0.99,76317.0
2022-12-29,VINC,0.98,1.06,0.93,1.04,137315.0
2022-12-30,VINC,1.04,1.09,0.95,1.02,72377.0
2023-01-03,VINC,0.98,1.0,0.91,0.95,113004.0
2023-01-04,VINC,0.9499,1.015,0.9401,0.99,69165.0
2023-01-05,VINC,1.05,1.05,0.94,1.03,58526.0
2023-01-06,VINC,0.9991,1.09,0.98,1.01,95011.0
2023-01-09,VINC,1.03,1.05,0.98,1.05,27540.0
2023-01-10,VINC,0.985,1.05,0.985,1.0,118003.0
2023-01-11,VINC,1.01,1.03,0.98,0.99,78175.0
2023-01-12,VINC,1.01,1.02,0.96,1.0,40128.0
2023-01-13,VINC,0.98,1.08,0.96,1.06,68340.0
2023-01-17,VINC,1.1,1.1,1.0379,1.07,63273.0
2023-01-18,VINC,1.09,1.09,1.03,1.07,80721.0
2023-01-19,VINC,1.07,1.07,1.0,1.04,56602.0
2023-01-20,VINC,1.03,1.14,1.03,1.06,86515.0
2023-01-23,VINC,1.08,1.1499,1.015,1.09,72768.0
2023-01-24,VINC,1.12,1.34,1.0891,1.32,260274.0
2023-01-25,VINC,1.35,1.4,1.16,1.25,107016.0
2023-01-26,VINC,1.26,1.4,1.26,1.33,82179.0
