Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,VIOT,0.94,0.94,0.9135,0.9201,38606.0
2022-11-14,VIOT,0.96,0.97,0.9188,0.9455,40136.0
2022-11-15,VIOT,0.965,1.08,0.965,1.04,259008.0
2022-11-16,VIOT,1.0454,1.07,0.87,0.87,72298.0
2022-11-17,VIOT,0.8611,0.93,0.83,0.8951,47064.0
2022-11-18,VIOT,0.92,0.95,0.9,0.909999,48109.0
2022-11-21,VIOT,0.9,0.905,0.8601,0.8897,20479.0
2022-11-22,VIOT,0.8897,0.902,0.83,0.88,68440.0
2022-11-23,VIOT,0.89,0.89,0.7826,0.8224,107302.0
2022-11-25,VIOT,0.8224,0.84,0.77,0.8,12698.0
2022-11-28,VIOT,0.8,0.836,0.71,0.8,45906.0
2022-11-29,VIOT,0.84,0.8601,0.825,0.8296,86427.0
2022-11-30,VIOT,0.84,0.95,0.84,0.9121,83088.0
2022-12-01,VIOT,0.95,0.98,0.9375,0.9401,67661.0
2022-12-02,VIOT,0.93,1.06,0.93,1.02,134361.0
2022-12-05,VIOT,1.02,1.1,0.96,1.0999,275290.0
2022-12-06,VIOT,1.14,1.15,0.98,1.1,104851.0
2022-12-07,VIOT,1.1,1.11,0.98,1.0596,138264.0
2022-12-08,VIOT,1.03,1.14,1.03,1.0801,84170.0
2022-12-09,VIOT,1.1323,1.26,1.1,1.2,231843.0
2022-12-12,VIOT,1.17,1.2658,1.08,1.115,165433.0
2022-12-13,VIOT,1.15,1.19,1.1,1.12,113535.0
2022-12-14,VIOT,1.13,1.13,1.1,1.127,22831.0
2022-12-15,VIOT,1.17,1.18,1.1087,1.13,16551.0
2022-12-16,VIOT,1.14,1.17,1.06,1.17,134521.0
2022-12-19,VIOT,1.1,1.17,1.08,1.13,43599.0
2022-12-20,VIOT,1.15,1.15,1.11,1.11,34261.0
2022-12-21,VIOT,1.06,1.12,1.06,1.08,38229.0
2022-12-22,VIOT,1.11,1.11,1.01,1.01,39533.0
2022-12-23,VIOT,0.98,1.02,0.98,0.98,65338.0
2022-12-27,VIOT,0.95,1.05,0.95,1.01,84272.0
2022-12-28,VIOT,1.03,1.05,0.9605,0.9676,90790.0
2022-12-29,VIOT,1.0488,1.09,0.97,1.09,38709.0
2022-12-30,VIOT,1.0763,1.12,1.05,1.07,50422.0
2023-01-03,VIOT,1.09,1.16,1.07,1.08,33355.0
2023-01-04,VIOT,1.07,1.15,1.07,1.15,113084.0
2023-01-05,VIOT,1.15,1.3,1.14,1.3,165660.0
2023-01-06,VIOT,1.35,1.4,1.3,1.36,124173.0
2023-01-09,VIOT,1.36,1.46,1.35,1.4,238502.0
2023-01-10,VIOT,1.4199,1.42,1.3483,1.42,73805.0
2023-01-11,VIOT,1.42,1.42,1.26,1.34,130760.0
2023-01-12,VIOT,1.29,1.31,1.2821,1.29,20525.0
2023-01-13,VIOT,1.3,1.42,1.29,1.4,122854.0
2023-01-17,VIOT,1.44,1.44,1.3212,1.36,31212.0
2023-01-18,VIOT,1.3826,1.39,1.35,1.35,11303.0
2023-01-19,VIOT,1.35,1.35,1.26,1.26,64916.0
2023-01-20,VIOT,1.32,1.35,1.2801,1.35,58209.0
2023-01-23,VIOT,1.35,1.6,1.34,1.52,247703.0
2023-01-24,VIOT,1.5,1.52,1.47,1.49,47916.0
2023-01-25,VIOT,1.48,1.495,1.4317,1.45,11581.0
2023-01-26,VIOT,1.45,1.5,1.42,1.47,69832.0
2023-01-27,VIOT,1.48,1.55,1.47,1.51,47812.0
2023-01-30,VIOT,1.51,1.5399,1.43,1.43,38544.0
2023-01-31,VIOT,1.48,1.52,1.4519,1.46,46167.0
2023-02-01,VIOT,1.51,1.57,1.48,1.56,116065.0
2023-02-02,VIOT,1.59,1.6,1.53,1.56,44168.0
2023-02-03,VIOT,1.52,1.5299,1.42,1.5,43308.0
2023-02-06,VIOT,1.48,1.48,1.4301,1.48,12819.0
2023-02-07,VIOT,1.4601,1.4693,1.45,1.45,26610.0
2023-02-08,VIOT,1.45,1.48,1.45,1.455,30399.0
2023-02-09,VIOT,1.45,1.46,1.37,1.37,195691.0
2023-02-10,VIOT,1.39,1.39,1.2484,1.26,129371.0
2023-02-13,VIOT,1.25,1.27,1.21,1.21,49938.0
2023-02-14,VIOT,1.17,1.23,1.17,1.23,55839.0
2023-02-15,VIOT,1.21,1.3499,1.2,1.27,63493.0
2023-02-16,VIOT,1.25,1.298,1.25,1.26,10079.0
2023-02-17,VIOT,1.28,1.28,1.19,1.22,25888.0
2023-02-21,VIOT,1.22,1.22,1.09,1.17,31830.0
2023-02-22,VIOT,1.17,1.2,1.16,1.17,5949.0
2023-02-23,VIOT,1.16,1.18,1.1162,1.13,50088.0
2023-02-24,VIOT,1.155,1.16,1.11,1.12,20373.0
2023-02-27,VIOT,1.11,1.16,1.04,1.04,63228.0
2023-02-28,VIOT,1.03,1.07,1.02,1.03,49453.0
2023-03-01,VIOT,1.04,1.12,1.01,1.04,83987.0
2023-03-02,VIOT,1.01,1.1599,1.01,1.07,47308.0
2023-03-03,VIOT,1.07,1.16,1.07,1.15,14232.0
2023-03-06,VIOT,1.0879,1.1379,1.0879,1.09,5737.0
2023-03-07,VIOT,1.07,1.1015,1.07,1.07,27166.0
2023-03-08,VIOT,1.05,1.115,1.05,1.06,29986.0
2023-03-09,VIOT,1.0664,1.0801,1.04,1.05,23499.0
2023-03-10,VIOT,1.0414,1.0786,1.04,1.04,23740.0
2023-03-13,VIOT,1.06,1.065,1.04,1.04,19095.0
2023-03-14,VIOT,1.04,1.0689,1.02,1.06,24349.0
2023-03-15,VIOT,0.99,1.05,0.99,1.04,21766.0
2023-03-16,VIOT,1.02,1.16,1.0,1.0548,66820.0
2023-03-17,VIOT,1.072,1.072,1.0145,1.04,35149.0
2023-03-20,VIOT,1.03,1.08,1.01,1.02,24371.0
2023-03-21,VIOT,1.02,1.0991,1.02,1.0586,7175.0
2023-03-22,VIOT,1.03,1.0524,0.95,0.953,70498.0
2023-03-23,VIOT,1.008,1.01,0.9901,0.995,26298.0
2023-03-24,VIOT,1.0199,1.03,0.9514,0.9601,33575.0
2023-03-27,VIOT,0.9801,1.0,0.95,0.9601,29381.0
2023-03-28,VIOT,0.95,0.965,0.9402,0.9409,27351.0
2023-03-29,VIOT,0.9434,1.0,0.9434,0.96,44098.0
2023-03-30,VIOT,0.96,0.9701,0.9502,0.9503,51918.0
2023-03-31,VIOT,0.9978,1.0386,0.9969,1.03,58397.0
2023-04-03,VIOT,0.99,1.03,0.99,1.01,20191.0
2023-04-04,VIOT,0.98,1.02,0.96,0.9699,18804.0
2023-04-05,VIOT,0.95,0.95,0.92,0.92,28230.0
2023-04-06,VIOT,0.92,0.949,0.92,0.937,8397.0
2023-04-10,VIOT,0.937,0.95,0.93,0.93,41214.0
2023-04-11,VIOT,0.93,0.95,0.92,0.92,17943.0
2023-04-12,VIOT,0.92,0.92,0.9003,0.9005,20823.0
2023-04-13,VIOT,0.911,0.94961,0.911,0.915,9684.0
2023-04-14,VIOT,0.8905,0.9499,0.8901,0.9131,51238.0
2023-04-17,VIOT,0.9131,0.949,0.9131,0.9207,7199.0
2023-04-18,VIOT,0.92,0.949,0.92,0.925,15307.0
2023-04-19,VIOT,0.87,0.9497,0.8501,0.89,24569.0
2023-04-20,VIOT,0.92,0.9201,0.8801,0.882,19225.0
2023-04-21,VIOT,0.86,1.02,0.82,1.01,216896.0
2023-04-24,VIOT,1.0,1.0,0.9,0.9,43509.0
2023-04-25,VIOT,0.88,0.9,0.88,0.884,16259.0
2023-04-26,VIOT,0.89,0.9499,0.8823,0.8888,4439.0
2023-04-27,VIOT,0.938999,0.938999,0.8502,0.88,22541.0
2023-04-28,VIOT,0.8801,0.9427,0.8801,0.9,40067.0
2023-05-01,VIOT,0.9398,0.96,0.93,0.947,27147.0
2023-05-02,VIOT,0.94,1.03,0.9363,1.02,60300.0
2023-05-03,VIOT,1.04,1.04,0.8901,0.8901,70876.0
2023-05-04,VIOT,0.8903,0.9624,0.89,0.91,40620.0
2023-05-05,VIOT,0.9269,0.9269,0.892,0.91845,14263.0
2023-05-08,VIOT,0.8992,0.9266,0.8992,0.9007,8888.0
2023-05-09,VIOT,0.85,0.85,0.8175,0.8495,71320.0
2023-05-10,VIOT,0.8401,0.843,0.8217,0.8429,35647.0
2023-05-11,VIOT,0.8097,0.8404,0.8097,0.82,39679.0
2023-05-12,VIOT,0.82,0.82,0.8101,0.82,48197.0
2023-05-15,VIOT,0.82,0.85,0.8101,0.839,31427.0
2023-05-16,VIOT,0.84,0.85,0.81,0.8462,23654.0
2023-05-17,VIOT,0.84,0.86005,0.84,0.8501,32743.0
2023-05-18,VIOT,0.88,0.88,0.820164,0.8251,35225.0
2023-05-19,VIOT,0.8301,0.8698,0.8202,0.83,38615.0
2023-05-22,VIOT,0.81,0.849599,0.81,0.83,19288.0
2023-05-23,VIOT,0.8469,0.9271,0.8469,0.918,71918.0
2023-05-24,VIOT,0.9149,1.01,0.89,1.01,66155.0
2023-05-25,VIOT,0.94,0.98,0.913,0.915,20241.0
2023-05-26,VIOT,0.86,0.913133,0.86,0.866,31593.0
2023-05-30,VIOT,0.84,0.98,0.84,0.8521,31110.0
2023-05-31,VIOT,0.99,0.99,0.841,0.86,35002.0
2023-06-01,VIOT,0.83,0.94,0.83,0.8503,16750.0
2023-06-02,VIOT,0.8561,0.9255,0.856,0.88015,27379.0
2023-06-05,VIOT,0.8796,0.93,0.879,0.8812,14977.0
2023-06-06,VIOT,0.881,0.9487,0.881,0.9114,5735.0
2023-06-07,VIOT,0.899999,0.91,0.8888,0.903,19617.0
2023-06-08,VIOT,0.888,0.9295,0.885,0.91,19723.0
2023-06-09,VIOT,0.9,0.94,0.886,0.886,18806.0
2023-06-12,VIOT,0.8891,0.944,0.8891,0.9,11421.0
2023-06-13,VIOT,0.9,0.9,0.89,0.89,15434.0
2023-06-14,VIOT,0.902,1.06,0.88395,1.03,274143.0
2023-06-15,VIOT,1.0137,1.05,0.9301,0.9301,70653.0
2023-06-16,VIOT,0.93,1.0,0.902,0.9293,45846.0
