Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,VIV,7.77,7.83,7.67,7.74,2734020.0
2022-11-14,VIV,7.71,7.73,7.56,7.59,1909660.0
2022-11-15,VIV,7.75,7.76,7.51,7.57,1952298.0
2022-11-16,VIV,7.52,7.54,7.2501,7.29,2247247.0
2022-11-17,VIV,7.03,7.21,6.98,7.18,3254407.0
2022-11-18,VIV,7.32,7.33,7.15,7.22,4452472.0
2022-11-21,VIV,7.45,7.49,7.24,7.31,4064967.0
2022-11-22,VIV,7.22,7.265,7.15,7.24,4654742.0
2022-11-23,VIV,7.19,7.285,7.17,7.25,2276235.0
2022-11-25,VIV,7.26,7.3,7.195,7.26,1599642.0
2022-11-28,VIV,7.24,7.25,7.09,7.13,4087740.0
2022-11-29,VIV,7.21,7.35,7.205,7.24,4397586.0
2022-11-30,VIV,7.23,7.33,7.15,7.31,5063168.0
2022-12-01,VIV,7.35,7.46,7.2812,7.39,3922747.0
2022-12-02,VIV,7.54,7.58,7.43,7.51,2357347.0
2022-12-05,VIV,7.4,7.455,7.23,7.25,3238171.0
2022-12-06,VIV,7.33,7.34,7.18,7.26,2737919.0
2022-12-07,VIV,7.27,7.345,7.26,7.32,1647965.0
2022-12-08,VIV,7.28,7.3,7.065,7.12,2285022.0
2022-12-09,VIV,7.06,7.22,7.04,7.14,2583808.0
2022-12-12,VIV,7.03,7.08,6.93,7.07,2753983.0
2022-12-13,VIV,7.1,7.205,6.95,6.99,3431159.0
2022-12-14,VIV,6.91,7.1,6.795,7.04,3279264.0
2022-12-15,VIV,7.04,7.125,6.93,6.94,2185844.0
2022-12-16,VIV,7.02,7.035,6.865,6.92,2836405.0
2022-12-19,VIV,6.95,7.065,6.875,6.93,2043236.0
2022-12-20,VIV,7.11,7.28,7.09,7.23,3641726.0
2022-12-21,VIV,7.28,7.29,7.2,7.21,1223597.0
2022-12-22,VIV,7.25,7.3,7.18,7.27,1810623.0
2022-12-23,VIV,7.37,7.47,7.36,7.42,1309661.0
2022-12-27,VIV,7.08,7.13,7.02,7.08,1461909.0
2022-12-28,VIV,7.14,7.205,7.09,7.15,1083807.0
2022-12-29,VIV,7.28,7.37,7.22,7.24,1329202.0
2022-12-30,VIV,7.22,7.34,7.105,7.15,1291515.0
2023-01-03,VIV,6.72,6.77,6.49,6.49,2972689.0
2023-01-04,VIV,6.54,6.74,6.535,6.68,3066777.0
2023-01-05,VIV,6.79,6.955,6.77,6.93,1768725.0
2023-01-06,VIV,7.07,7.3,7.045,7.3,2018028.0
2023-01-09,VIV,7.22,7.27,7.145,7.18,1764115.0
2023-01-10,VIV,7.22,7.39,7.21,7.36,1827980.0
2023-01-11,VIV,7.39,7.46,7.3,7.44,2563808.0
2023-01-12,VIV,7.47,7.63,7.36,7.58,2141386.0
2023-01-13,VIV,7.5,7.525,7.37,7.44,3800274.0
2023-01-17,VIV,7.45,7.69,7.44,7.61,4729901.0
2023-01-18,VIV,7.7,7.74,7.49,7.66,3854408.0
2023-01-19,VIV,7.62,7.72,7.515,7.72,1631217.0
2023-01-20,VIV,7.53,7.58,7.48,7.58,1896530.0
2023-01-23,VIV,7.59,7.79,7.545,7.76,3491128.0
2023-01-24,VIV,7.91,7.92,7.735,7.81,2976186.0
2023-01-25,VIV,7.75,7.87,7.72,7.87,1554671.0
2023-01-26,VIV,7.86,7.92,7.79,7.92,1060976.0
2023-01-27,VIV,7.87,7.895,7.8,7.86,873185.0
2023-01-30,VIV,7.93,7.96,7.8424,7.85,1521977.0
2023-01-31,VIV,8.11,8.16,8.02,8.13,5354439.0
2023-02-01,VIV,8.0,8.02,7.83,7.92,2797660.0
2023-02-02,VIV,7.99,7.99,7.75,7.8,5269989.0
2023-02-03,VIV,7.72,7.75,7.52,7.54,1636697.0
2023-02-06,VIV,7.42,7.48,7.365,7.48,2071404.0
2023-02-07,VIV,7.46,7.49,7.28,7.33,1782981.0
2023-02-08,VIV,7.42,7.46,7.3,7.43,2563649.0
2023-02-09,VIV,7.41,7.43,7.21,7.26,2390349.0
2023-02-10,VIV,7.38,7.48,7.345,7.44,2296492.0
2023-02-13,VIV,7.44,7.55,7.44,7.53,1286658.0
2023-02-14,VIV,7.62,7.68,7.47,7.55,3209938.0
2023-02-15,VIV,7.62,7.63,7.44,7.58,3722315.0
2023-02-16,VIV,7.525,7.795,7.41,7.7,2300604.0
2023-02-17,VIV,7.82,7.97,7.78,7.94,2077841.0
2023-02-21,VIV,7.97,7.97,7.64,7.72,1841425.0
2023-02-22,VIV,7.73,7.81,7.62,7.67,2297474.0
2023-02-23,VIV,7.7,7.72,7.61,7.65,2028188.0
2023-02-24,VIV,7.6,7.62,7.45,7.53,1524703.0
2023-02-27,VIV,7.54,7.6,7.5,7.55,1255293.0
2023-02-28,VIV,7.51,7.535,7.42,7.45,1317498.0
2023-03-01,VIV,7.44,7.46,7.385,7.44,1346076.0
2023-03-02,VIV,7.38,7.42,7.34,7.37,1353764.0
2023-03-03,VIV,7.3,7.37,7.28,7.3,1997771.0
2023-03-06,VIV,7.33,7.495,7.26,7.46,1714742.0
2023-03-07,VIV,7.52,7.54,7.405,7.47,1679378.0
2023-03-08,VIV,7.56,7.64,7.445,7.56,2884060.0
2023-03-09,VIV,7.55,7.685,7.545,7.58,2613257.0
2023-03-10,VIV,7.43,7.52,7.38,7.41,1215404.0
2023-03-13,VIV,7.31,7.43,7.31,7.34,1496189.0
2023-03-14,VIV,7.46,7.505,7.4,7.46,1476384.0
2023-03-15,VIV,7.34,7.54,7.31,7.51,1502274.0
2023-03-16,VIV,7.53,7.67,7.46,7.6,2711109.0
2023-03-17,VIV,7.43,7.49,7.3,7.38,3516947.0
2023-03-20,VIV,7.35,7.41,7.3,7.39,1686193.0
2023-03-21,VIV,7.34,7.36,7.26,7.31,1455786.0
2023-03-22,VIV,7.27,7.43,7.21,7.28,1505686.0
2023-03-23,VIV,7.42,7.46,7.21,7.23,1387029.0
2023-03-24,VIV,7.2,7.43,7.155,7.38,1466188.0
2023-03-27,VIV,7.46,7.54,7.43,7.49,1595924.0
2023-03-28,VIV,7.59,7.675,7.57,7.63,1293231.0
2023-03-29,VIV,7.66,7.785,7.635,7.69,1368066.0
2023-03-30,VIV,7.87,7.89,7.72,7.78,1711259.0
2023-03-31,VIV,7.82,7.83,7.53,7.57,1922194.0
2023-04-03,VIV,7.37,7.505,7.28,7.45,1782728.0
2023-04-04,VIV,7.53,7.66,7.505,7.6,1703614.0
2023-04-05,VIV,7.66,7.81,7.56,7.65,1984922.0
2023-04-06,VIV,7.67,7.75,7.595,7.75,1530135.0
2023-04-10,VIV,7.68,7.77,7.675,7.76,997435.0
2023-04-11,VIV,7.97,8.0,7.885,7.97,2334808.0
2023-04-12,VIV,8.08,8.245,8.03,8.14,6893367.0
2023-04-13,VIV,8.21,8.295,8.2,8.2,2274691.0
2023-04-14,VIV,8.01,8.18,7.9703,8.14,1694824.0
2023-04-17,VIV,8.17,8.25,8.16,8.22,2371740.0
2023-04-18,VIV,8.13,8.185,8.105,8.14,1642314.0
2023-04-19,VIV,8.05,8.125,7.98,7.99,1372749.0
2023-04-20,VIV,7.91,8.08,7.9,8.06,2254289.0
2023-04-21,VIV,8.09,8.09,7.925,7.99,556992.0
2023-04-24,VIV,8.0,8.0,7.91,7.96,1206819.0
2023-04-25,VIV,7.93,7.98,7.875,7.9,1088130.0
2023-04-26,VIV,7.95,8.01,7.9,7.9,906334.0
2023-04-27,VIV,8.04,8.235,8.02,8.23,1813847.0
2023-04-28,VIV,8.14,8.2401,8.105,8.17,1232706.0
2023-05-01,VIV,8.18,8.205,8.105,8.12,444104.0
2023-05-02,VIV,8.13,8.19,8.05,8.09,991522.0
2023-05-03,VIV,8.11,8.205,8.05,8.15,2198641.0
2023-05-04,VIV,8.23,8.28,8.07,8.15,1307500.0
2023-05-05,VIV,8.28,8.435,8.2,8.31,2143507.0
2023-05-08,VIV,8.34,8.405,8.14,8.18,2350072.0
2023-05-09,VIV,8.11,8.16,8.02,8.14,2462350.0
2023-05-10,VIV,8.3,8.415,8.19,8.32,2425330.0
2023-05-11,VIV,8.35,8.44,8.34,8.4,902401.0
2023-05-12,VIV,8.29,8.42,8.25,8.4,1326468.0
2023-05-15,VIV,8.44,8.51,8.39,8.5,818416.0
2023-05-16,VIV,8.61,8.63,8.39,8.4,1385124.0
2023-05-17,VIV,8.42,8.42,8.31,8.34,1090200.0
2023-05-18,VIV,8.32,8.435,8.29,8.34,1017910.0
2023-05-19,VIV,8.3,8.37,8.26,8.29,820774.0
2023-05-22,VIV,8.4,8.43,8.265,8.31,1362855.0
2023-05-23,VIV,8.34,8.435,8.32,8.33,1089481.0
2023-05-24,VIV,8.33,8.37,8.23,8.24,990801.0
2023-05-25,VIV,8.32,8.3775,8.225,8.34,2082224.0
2023-05-26,VIV,8.33,8.41,8.3,8.38,1145042.0
2023-05-30,VIV,8.15,8.22,8.11,8.12,1683205.0
2023-05-31,VIV,8.06,8.06,7.87,7.92,2551697.0
2023-06-01,VIV,7.89,8.13,7.88,8.08,2106627.0
2023-06-02,VIV,8.16,8.36,8.13,8.34,2758371.0
2023-06-05,VIV,8.37,8.43,8.335,8.35,1328256.0
2023-06-06,VIV,8.29,8.665,8.29,8.63,1593211.0
2023-06-07,VIV,8.63,8.7,8.6,8.63,3118644.0
2023-06-08,VIV,8.69,8.89,8.69,8.88,2526865.0
2023-06-09,VIV,8.83,9.085,8.82,8.98,3481321.0
2023-06-12,VIV,8.95,9.06,8.88,9.06,2096192.0
2023-06-13,VIV,9.11,9.11,8.77,8.8,2922919.0
2023-06-14,VIV,8.87,9.2,8.87,9.17,1930443.0
2023-06-15,VIV,9.18,9.235,9.12,9.18,1559013.0
2023-06-16,VIV,9.02,9.09,8.96,8.99,4340827.0
2023-06-20,VIV,8.97,9.04,8.93,9.0,1736833.0
2023-06-21,VIV,9.04,9.24,9.03,9.14,2554799.0
2023-06-22,VIV,9.07,9.08,8.9,8.92,1154094.0
2023-06-23,VIV,8.92,9.005,8.91,8.93,1064850.0
2023-06-26,VIV,8.91,8.95,8.85,8.93,673269.0
2023-06-27,VIV,9.04,9.065,8.83,8.89,1664820.0
2023-06-28,VIV,8.83,8.91,8.78,8.91,1582787.0
2023-06-29,VIV,8.87,8.965,8.81,8.94,1252685.0
2023-06-30,VIV,9.03,9.17,9.0,9.13,1836563.0
2023-07-03,VIV,9.07,9.12,9.04,9.11,618370.0
2023-07-05,VIV,8.9,8.95,8.81,8.89,1965714.0
2023-07-06,VIV,8.77,8.79,8.59,8.66,1162880.0
2023-07-07,VIV,8.67,8.795,8.67,8.73,1110776.0
2023-07-10,VIV,8.66,8.68,8.57,8.61,1012780.0
2023-07-11,VIV,8.47,8.56,8.42,8.56,1327315.0
2023-07-12,VIV,8.64,8.68,8.57,8.58,1757589.0
2023-07-13,VIV,8.68,8.69,8.61,8.63,1463832.0
2023-07-14,VIV,8.6,8.6,8.43,8.45,1572782.0
2023-07-17,VIV,8.4,8.475,8.36,8.45,1518419.0
