Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,VOC,9.05,9.24,8.87,8.9,146336.0
2022-11-14,VOC,9.06,9.49,9.032,9.43,241423.0
2022-11-15,VOC,9.56,9.591,9.18,9.5,168914.0
2022-11-16,VOC,9.53,9.53,9.1601,9.3,78728.0
2022-11-17,VOC,9.29,9.31,9.11,9.31,60906.0
2022-11-18,VOC,9.26,9.26,8.92,8.95,107054.0
2022-11-21,VOC,8.85,9.07,8.51,8.92,191451.0
2022-11-22,VOC,8.92,9.1338,8.84,8.95,78345.0
2022-11-23,VOC,8.95,9.18,8.92,9.18,81840.0
2022-11-25,VOC,9.36,9.9,9.21,9.87,176720.0
2022-11-28,VOC,9.83,9.83,8.93,9.05,244022.0
2022-11-29,VOC,9.37,9.65,8.975,9.4,327404.0
2022-11-30,VOC,9.62,9.96,9.49,9.71,197653.0
2022-12-01,VOC,9.97,9.98,9.4,9.43,396451.0
2022-12-02,VOC,9.17,9.35,9.0701,9.19,191468.0
2022-12-05,VOC,9.43,9.45,9.0,9.06,146324.0
2022-12-06,VOC,9.06,9.2,8.51,8.6,214025.0
2022-12-07,VOC,8.6,8.705,8.1,8.32,165597.0
2022-12-08,VOC,8.35,8.7,8.3384,8.62,113955.0
2022-12-09,VOC,8.73,8.8,8.35,8.4,134838.0
2022-12-12,VOC,8.34,8.34,8.05,8.26,188171.0
2022-12-13,VOC,8.43,8.57,8.327,8.5,72302.0
2022-12-14,VOC,8.56,8.56,8.1255,8.25,93292.0
2022-12-15,VOC,8.32,8.4,8.05,8.19,68696.0
2022-12-16,VOC,8.1,8.1924,7.63,7.94,213098.0
2022-12-19,VOC,8.02,8.14,7.88,8.14,116133.0
2022-12-20,VOC,8.3,8.99,8.22,8.99,302474.0
2022-12-21,VOC,9.13,9.59,9.06,9.35,245331.0
2022-12-22,VOC,9.45,9.59,8.49,8.5,361723.0
2022-12-23,VOC,8.54,9.15,8.54,9.12,159854.0
2022-12-27,VOC,9.32,9.9,9.1401,9.74,291303.0
