Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,VZ,38.55,38.69,37.81,38.3,22980965.0
2022-11-14,VZ,38.45,38.99,38.3,38.31,22703201.0
2022-11-15,VZ,38.49,38.83,37.46,37.7,25071297.0
2022-11-16,VZ,37.66,38.07,37.63,37.88,18962154.0
2022-11-17,VZ,37.55,38.18,37.29,38.16,18788613.0
2022-11-18,VZ,38.29,38.77,38.29,38.55,17821689.0
2022-11-21,VZ,38.6,39.13,38.52,38.62,19184223.0
2022-11-22,VZ,38.84,39.32,38.84,39.2,19809517.0
2022-11-23,VZ,39.03,39.2,38.61,38.92,14170012.0
2022-11-25,VZ,39.1,39.3585,38.97,39.02,7725741.0
2022-11-28,VZ,39.01,39.09,38.13,38.24,21563586.0
2022-11-29,VZ,38.02,38.37,37.945,38.34,14008826.0
2022-11-30,VZ,38.21,39.14,38.15,38.98,31358756.0
2022-12-01,VZ,39.18,39.23,37.81,38.33,26276613.0
2022-12-02,VZ,37.93,38.3,37.7,38.18,21677142.0
2022-12-05,VZ,37.98,38.11,36.9,37.07,27561037.0
2022-12-06,VZ,36.99,37.07,36.625,36.89,26293703.0
2022-12-07,VZ,36.74,37.305,36.665,37.17,23065918.0
2022-12-08,VZ,37.11,37.24,36.8731,37.1,19549082.0
2022-12-09,VZ,37.21,37.63,36.9601,37.4,20671248.0
2022-12-12,VZ,37.69,37.96,37.28,37.95,19629617.0
2022-12-13,VZ,38.39,38.62,37.84,37.86,30176841.0
2022-12-14,VZ,37.87,38.09,37.24,37.45,23329799.0
2022-12-15,VZ,37.75,38.339,37.66,37.77,33012533.0
2022-12-16,VZ,37.51,37.57,36.67,37.12,62763820.0
2022-12-19,VZ,37.33,37.47,36.575,37.03,26127160.0
2022-12-20,VZ,36.99,37.21,36.62,36.99,24147313.0
2022-12-21,VZ,37.27,37.85,37.24,37.78,24504279.0
2022-12-22,VZ,37.68,38.32,37.37,38.31,26870189.0
2022-12-23,VZ,38.31,38.5399,37.925,38.41,16918339.0
2022-12-27,VZ,38.49,39.4,38.32,39.25,25315928.0
2022-12-28,VZ,39.19,39.66,38.585,38.81,21793177.0
2022-12-29,VZ,38.9,39.535,38.81,39.26,17347000.0
2022-12-30,VZ,39.31,39.69,39.07,39.4,44007197.0
2023-01-03,VZ,39.77,40.23,39.38,40.12,31330684.0
2023-01-04,VZ,40.54,41.42,40.26,41.13,28779472.0
2023-01-05,VZ,41.2,41.945,40.82,41.7,29987161.0
2023-01-06,VZ,41.92,42.578,41.88,42.19,26010388.0
2023-01-09,VZ,41.38,41.67,41.3123,41.37,23062219.0
2023-01-10,VZ,41.36,41.975,41.17,41.95,16695308.0
2023-01-11,VZ,42.14,42.18,41.02,41.18,20674841.0
2023-01-12,VZ,41.38,41.95,41.123,41.81,16980290.0
2023-01-13,VZ,41.65,41.915,41.37,41.86,17229808.0
2023-01-17,VZ,41.85,41.92,40.79,40.85,28696962.0
2023-01-18,VZ,40.86,40.86,39.8241,39.97,22976472.0
2023-01-19,VZ,39.71,40.275,39.4715,40.06,24812611.0
2023-01-20,VZ,40.04,40.12,39.46,40.0,23377874.0
2023-01-23,VZ,39.99,40.34,39.42,39.63,34249323.0
