Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,W,36.26,42.85,35.65,41.47,6537395.0
2022-11-14,W,40.68,43.92,39.94,40.55,6134887.0
2022-11-15,W,42.43,43.77,40.84,42.16,4157060.0
2022-11-16,W,39.96,40.29,36.84,37.58,4648529.0
2022-11-17,W,36.36,36.67,33.5101,34.1,5476529.0
2022-11-18,W,34.63,35.39,32.39,33.24,5640006.0
2022-11-21,W,32.56,33.27,30.99,33.0,5994906.0
2022-11-22,W,32.16,33.81,31.73,33.04,4353117.0
2022-11-23,W,33.3,34.085,32.36,32.91,2536983.0
2022-11-25,W,32.69,33.165,31.75,32.02,1317549.0
2022-11-28,W,32.16,33.1,31.58,32.27,3438822.0
2022-11-29,W,32.36,32.69,31.0,31.67,3792741.0
2022-11-30,W,34.11,36.72,32.741,36.64,11910245.0
2022-12-01,W,36.73,41.97,36.73,41.63,7740784.0
2022-12-02,W,41.04,42.12,39.25,42.1,6229124.0
2022-12-05,W,41.85,42.865,37.96,38.54,5137971.0
2022-12-06,W,38.74,39.19,36.71,37.02,2527370.0
2022-12-07,W,36.61,38.0564,34.91,35.61,3057840.0
2022-12-08,W,35.71,37.4254,34.63,36.96,3080193.0
2022-12-09,W,36.46,39.0,35.655,37.75,3516491.0
2022-12-12,W,37.93,38.6,34.9,37.29,3478272.0
2022-12-13,W,41.925,42.64,37.55,39.63,4900165.0
2022-12-14,W,40.03,42.86,39.538,41.49,5636641.0
2022-12-15,W,39.51,40.16,36.63,38.09,4731968.0
2022-12-16,W,37.84,38.28,36.0,36.9,3445582.0
2022-12-19,W,37.04,37.26,33.72,34.23,3670748.0
2022-12-20,W,33.32,34.88,32.58,34.4,3309330.0
2022-12-21,W,35.22,37.146,34.8704,36.78,2835186.0
2022-12-22,W,35.86,36.0,31.41,34.23,4373316.0
2022-12-23,W,33.84,34.18,32.74,33.56,2165598.0
2022-12-27,W,33.03,33.78,32.08,32.15,2215427.0
2022-12-28,W,31.68,32.4,30.67,31.39,2796174.0
2022-12-29,W,31.81,34.115,31.11,33.14,4342220.0
2022-12-30,W,32.16,33.33,31.89,32.89,3233910.0
2023-01-03,W,33.87,35.05,31.53,32.76,3982496.0
2023-01-04,W,33.78,36.1,32.92,35.89,5880996.0
2023-01-05,W,34.65,35.78,34.0,35.45,2869540.0
2023-01-06,W,36.43,38.12,34.11,37.99,3603595.0
2023-01-09,W,38.29,40.165,37.7,37.84,4612327.0
2023-01-10,W,37.98,40.22,37.61,40.2,4703548.0
2023-01-11,W,40.85,42.14,40.115,41.98,3463153.0
2023-01-12,W,42.9,43.21,38.81,42.13,5354519.0
2023-01-13,W,41.77,44.5519,41.58,43.23,6150903.0
2023-01-17,W,44.5,44.75,42.51,43.02,3765462.0
2023-01-18,W,44.31,44.94,41.02,41.04,3464417.0
2023-01-19,W,39.75,40.57,38.4403,38.91,4963432.0
2023-01-20,W,42.05,48.94,41.57,46.79,22042400.0
2023-01-23,W,53.65,59.68,53.28,59.33,27512613.0
2023-01-24,W,56.41,60.42,54.42,54.65,13601167.0
2023-01-25,W,52.55,56.6199,50.88,56.19,8504668.0
2023-01-26,W,58.01,59.19,54.04,56.2,5669827.0
2023-01-27,W,55.965,65.1599,55.965,63.74,10884807.0
2023-01-30,W,61.68,62.9,57.25,58.68,8694002.0
2023-01-31,W,59.5,61.0,58.59,60.5,3815203.0
2023-02-01,W,60.84,67.12,59.87,66.51,7224408.0
2023-02-02,W,69.33,74.25,68.01,72.73,10134169.0
2023-02-03,W,68.02,71.67,66.3701,67.13,5661495.0
2023-02-06,W,65.305,67.04,63.7,64.85,3834719.0
2023-02-07,W,64.5,64.5,60.69,63.53,3614557.0
2023-02-08,W,63.25,64.75,61.5,62.46,2964611.0
2023-02-09,W,63.73,64.79,57.9,57.92,4233761.0
2023-02-10,W,55.72,55.83,52.12,52.16,5640219.0
2023-02-13,W,52.02,53.0371,49.56,52.58,4225738.0
2023-02-14,W,51.56,53.2399,49.01,50.37,5888626.0
2023-02-15,W,51.01,55.77,50.57,55.59,5205706.0
2023-02-16,W,52.75,54.34,51.04,51.05,3214385.0
2023-02-17,W,50.89,52.165,50.2,51.79,3973570.0
2023-02-21,W,49.67,50.87,47.87,47.97,4003261.0
2023-02-22,W,48.69,49.98,48.0,49.81,5306714.0
2023-02-23,W,45.61,46.58,34.33,38.33,27610868.0
2023-02-24,W,37.7,38.34,36.05,37.43,9527130.0
2023-02-27,W,37.88,39.32,37.18,39.18,7042016.0
2023-02-28,W,39.12,41.55,38.68,40.49,6235313.0
2023-03-01,W,40.12,40.47,39.16,39.33,3524320.0
2023-03-02,W,38.56,39.63,37.72,38.85,4318116.0
2023-03-03,W,39.14,41.055,39.03,40.52,3838894.0
2023-03-06,W,40.91,41.79,39.12,39.23,3546169.0
2023-03-07,W,39.03,41.35,38.75,39.01,4489563.0
2023-03-08,W,38.51,39.079,37.09,38.57,3520508.0
2023-03-09,W,38.06,39.222,36.1,36.23,3533164.0
2023-03-10,W,36.0,36.04,31.81,32.46,9073752.0
2023-03-13,W,31.79,34.61,30.44,32.53,6920445.0
2023-03-14,W,33.91,34.44,30.46,31.02,7407654.0
2023-03-15,W,30.74,32.6,30.23,32.29,7093640.0
2023-03-16,W,31.96,33.05,30.75,32.51,6494764.0
2023-03-17,W,31.83,32.2276,30.81,31.72,5138784.0
2023-03-20,W,31.41,32.73,30.595,31.36,3974556.0
2023-03-21,W,32.3,34.18,32.12,33.44,4869491.0
2023-03-22,W,33.765,35.17,32.56,32.58,5115791.0
2023-03-23,W,33.33,35.47,33.01,34.2,5054642.0
2023-03-24,W,33.8,34.7937,32.73,34.24,3167148.0
2023-03-27,W,34.51,34.79,32.13,33.35,4859229.0
2023-03-28,W,33.43,34.5515,32.7301,33.08,4270398.0
2023-03-29,W,33.85,34.48,32.31,33.38,4918178.0
2023-03-30,W,34.04,34.39,31.59,32.48,8074467.0
2023-03-31,W,32.64,34.85,32.0002,34.34,4637492.0
2023-04-03,W,34.45,36.03,33.72,35.85,4432032.0
2023-04-04,W,36.49,36.69,34.61,35.84,3670955.0
2023-04-05,W,35.06,35.6785,33.64,34.44,2965469.0
2023-04-06,W,34.15,34.8684,32.83,33.67,3530421.0
2023-04-10,W,33.35,35.6599,33.01,35.4,4417589.0
2023-04-11,W,35.43,36.31,34.65,35.71,3571086.0
2023-04-12,W,36.69,37.45,33.95,34.06,3504619.0
2023-04-13,W,34.68,35.94,34.271,35.12,3282302.0
2023-04-14,W,34.94,35.88,34.0402,34.81,2551087.0
2023-04-17,W,34.64,35.9768,34.33,35.64,2885209.0
2023-04-18,W,36.16,36.85,35.75,36.08,3788837.0
2023-04-19,W,35.14,36.8799,34.52,36.57,3064866.0
2023-04-20,W,35.49,37.08,35.41,36.64,2781421.0
2023-04-21,W,36.75,37.11,35.96,36.87,2397196.0
2023-04-24,W,37.06,38.3432,35.47,37.02,3296415.0
2023-04-25,W,36.8,37.37,35.78,35.81,2373356.0
