Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,WDC,38.0,39.99,37.86,39.75,3921584.0
2022-11-14,WDC,39.39,40.33,38.95,39.6,3584446.0
2022-11-15,WDC,40.56,40.97,39.21,39.46,3533510.0
2022-11-16,WDC,38.71,38.72,36.085,36.42,6852923.0
2022-11-17,WDC,35.53,36.56,35.21,36.53,4428809.0
2022-11-18,WDC,37.14,37.46,36.21,36.86,2239446.0
2022-11-21,WDC,36.33,36.37,35.4755,35.95,3390419.0
2022-11-22,WDC,35.99,36.69,35.86,36.23,2804045.0
2022-11-23,WDC,36.03,37.11,36.02,37.0,3251693.0
2022-11-25,WDC,36.63,37.47,36.56,37.34,1221389.0
2022-11-28,WDC,36.76,36.86,35.9,36.11,2700872.0
2022-11-29,WDC,36.45,36.54,35.71,36.03,1990090.0
2022-11-30,WDC,35.42,36.87,34.455,36.75,6609054.0
2022-12-01,WDC,36.61,37.45,35.695,35.84,6129023.0
2022-12-02,WDC,35.105,35.605,34.73,35.45,4372246.0
2022-12-05,WDC,35.31,35.68,34.58,34.79,3046389.0
2022-12-06,WDC,34.71,34.82,33.555,33.89,5627043.0
2022-12-07,WDC,33.54,34.19,33.02,34.14,3882133.0
2022-12-08,WDC,34.48,35.375,34.35,35.23,9037610.0
2022-12-09,WDC,35.21,36.37,34.95,35.71,5379487.0
2022-12-12,WDC,35.53,36.285,35.34,36.21,4056186.0
2022-12-13,WDC,37.65,38.05,35.875,36.3,5905589.0
2022-12-14,WDC,36.165,36.77,35.575,35.83,3861097.0
2022-12-15,WDC,33.76,33.83,32.12,32.21,10835299.0
2022-12-16,WDC,31.95,32.65,31.76,31.94,9666803.0
2022-12-19,WDC,32.01,32.14,31.03,31.56,4661761.0
2022-12-20,WDC,31.94,32.67,31.7,32.08,5576538.0
2022-12-21,WDC,32.58,32.585,31.33,31.38,4729102.0
2022-12-22,WDC,30.58,30.69,29.73,30.64,5442227.0
2022-12-23,WDC,30.63,30.79,30.23,30.59,2558192.0
2022-12-27,WDC,30.41,31.28,29.79,31.17,3411578.0
2022-12-28,WDC,31.12,31.35,30.17,30.21,3000299.0
2022-12-29,WDC,30.56,31.63,30.43,31.57,4329328.0
2022-12-30,WDC,31.11,31.57,30.864,31.55,2631981.0
2023-01-03,WDC,31.93,32.29,30.96,31.41,3475893.0
2023-01-04,WDC,32.44,33.545,32.33,33.05,6348418.0
2023-01-05,WDC,33.46,35.3701,33.26,35.23,10042192.0
2023-01-06,WDC,35.9,37.445,35.1718,37.17,8388048.0
2023-01-09,WDC,37.31,37.98,36.61,37.59,7727442.0
2023-01-10,WDC,37.44,38.23,37.32,38.17,6550162.0
2023-01-11,WDC,38.32,38.45,37.82,38.42,3043418.0
2023-01-12,WDC,38.415,38.625,37.59,37.96,4091943.0
2023-01-13,WDC,37.57,37.74,36.98,37.22,4133834.0
2023-01-17,WDC,37.28,37.57,36.83,37.32,6684633.0
2023-01-18,WDC,37.88,38.36,37.32,37.47,2781290.0
2023-01-19,WDC,36.87,38.125,36.615,37.55,4248809.0
2023-01-20,WDC,37.71,38.47,37.2,38.46,5116993.0
2023-01-23,WDC,40.35,41.99,40.02,41.79,8279678.0
2023-01-24,WDC,41.13,41.92,40.735,41.1,4792606.0
2023-01-25,WDC,40.63,41.52,40.33,41.31,3074524.0
2023-01-26,WDC,42.47,43.825,41.82,43.76,6878875.0
2023-01-27,WDC,43.31,45.14,43.26,44.97,5393177.0
2023-01-30,WDC,43.91,44.81,43.85,44.24,6804849.0
2023-01-31,WDC,42.955,44.03,42.305,43.95,6306599.0
2023-02-01,WDC,43.84,44.37,41.0433,43.32,15476319.0
2023-02-02,WDC,44.04,45.24,43.32,44.58,5386105.0
2023-02-03,WDC,43.6,44.82,43.065,43.25,5798714.0
2023-02-06,WDC,42.38,42.675,42.05,42.25,3540843.0
2023-02-07,WDC,42.25,43.275,41.88,43.08,3906863.0
2023-02-08,WDC,42.63,43.59,42.6,42.74,2890219.0
2023-02-09,WDC,43.05,43.4,41.845,41.99,3310041.0
2023-02-10,WDC,42.55,43.51,42.31,43.01,3025483.0
2023-02-13,WDC,42.79,43.33,42.45,43.04,2781368.0
2023-02-14,WDC,42.6,43.75,42.18,43.64,2168696.0
2023-02-15,WDC,43.15,43.69,43.04,43.67,3234539.0
2023-02-16,WDC,43.0,43.245,42.37,42.57,2004682.0
2023-02-17,WDC,42.35,42.5,41.42,41.58,2935388.0
2023-02-21,WDC,40.91,41.13,39.97,40.05,2729063.0
2023-02-22,WDC,39.96,40.56,39.33,39.57,2501206.0
2023-02-23,WDC,40.24,40.45,39.1,39.79,5267364.0
2023-02-24,WDC,38.93,39.4,38.62,39.11,2631660.0
2023-02-27,WDC,39.62,39.73,38.3909,38.51,2402816.0
2023-02-28,WDC,38.83,38.83,38.27,38.48,3649424.0
2023-03-01,WDC,38.62,38.84,37.985,38.12,3631862.0
2023-03-02,WDC,37.84,38.52,37.1811,38.38,2590690.0
2023-03-03,WDC,38.4,38.8,38.21,38.59,2261242.0
2023-03-06,WDC,38.76,38.845,37.66,37.78,6189265.0
2023-03-07,WDC,37.64,37.77,37.05,37.31,4126948.0
2023-03-08,WDC,37.44,37.93,37.23,37.9,2463445.0
2023-03-09,WDC,37.9,38.34,37.04,37.06,2663292.0
2023-03-10,WDC,36.97,37.04,35.76,36.06,5367756.0
2023-03-13,WDC,35.27,35.815,34.51,35.32,8292159.0
2023-03-14,WDC,36.12,36.37,34.95,35.29,3995548.0
2023-03-15,WDC,34.35,34.95,33.88,34.39,4433619.0
2023-03-16,WDC,33.86,35.48,33.75,35.34,4931336.0
2023-03-17,WDC,35.34,35.89,34.975,35.08,6316041.0
