Date,Ticker,Open,High,Low,Close,Volume
2023-12-29,ZCARW,0.06,0.08,0.0455,0.08,21194.0
2024-01-02,ZCARW,0.0849,0.0849,0.0352,0.06,20373.0
2024-01-03,ZCARW,0.045,0.045,0.0315,0.0346,2395.0
2024-01-04,ZCARW,0.0362,0.075,0.036,0.0454,188072.0
2024-01-05,ZCARW,0.069,0.0999,0.045,0.07,591383.0
2024-01-08,ZCARW,0.075,0.11,0.0526,0.0717,183427.0
2024-01-09,ZCARW,0.099,0.1449,0.065,0.125,928487.0
2024-01-10,ZCARW,0.14,0.18,0.1146,0.16,392614.0
2024-01-11,ZCARW,0.1782,0.1799,0.11,0.122,59610.0
2024-01-12,ZCARW,0.17,0.17,0.1231,0.15,73527.0
2024-01-16,ZCARW,0.1525,0.154,0.11,0.1201,78674.0
2024-01-17,ZCARW,0.111,0.152,0.1,0.1017,24351.0
2024-01-18,ZCARW,0.1287,0.1299,0.1,0.1037,122730.0
2024-01-19,ZCARW,0.123917,0.123917,0.1,0.1125,23676.0
2024-01-22,ZCARW,0.1002,0.105,0.06,0.0975,28921.0
2024-01-23,ZCARW,0.0949,0.097,0.06,0.0969,24414.0
2024-01-24,ZCARW,0.0899,0.1,0.07,0.0803,15894.0
2024-01-25,ZCARW,0.081,0.105,0.0808,0.099,9387.0
2024-01-26,ZCARW,0.0901,0.0975,0.09,0.0975,3342.0
2024-01-29,ZCARW,0.077575,0.0992,0.0707,0.0992,5478.0
2024-01-30,ZCARW,0.0707,0.099,0.0707,0.09,6831.0
2024-01-31,ZCARW,0.09,0.0966,0.07,0.07,26693.0
2024-02-01,ZCARW,0.0702,0.0875,0.0702,0.0702,811.0
2024-02-02,ZCARW,0.0705,0.09,0.07,0.071,21131.0
2024-02-05,ZCARW,0.0707,0.0966,0.0603,0.079,23259.0
2024-02-06,ZCARW,0.0953,0.0953,0.0514,0.052,35429.0
2024-02-07,ZCARW,0.085,0.085,0.055,0.0555,9513.0
2024-02-08,ZCARW,0.0549,0.0695,0.051,0.0695,27897.0
2024-02-09,ZCARW,0.0614,0.0614,0.0614,0.0614,477.0
2024-02-12,ZCARW,0.0697,0.0697,0.051,0.0675,1497.0
2024-02-14,ZCARW,0.0695,0.0792,0.051,0.0695,2675.0
2024-02-15,ZCARW,0.07,0.0701,0.07,0.0701,28905.0
2024-02-20,ZCARW,0.07,0.08,0.07,0.0799,12768.0
2024-02-21,ZCARW,0.0819,0.082,0.07,0.082,2857.0
2024-02-22,ZCARW,0.0799,0.082,0.07,0.08,8179.0
2024-02-23,ZCARW,0.0707,0.08,0.07,0.08,14955.0
2024-02-26,ZCARW,0.0707,0.0812,0.0511,0.0561,92952.0
2024-02-27,ZCARW,0.0561,0.0561,0.0254,0.05,8310.0
2024-02-28,ZCARW,0.0353,0.05,0.0353,0.0499,634.0
2024-02-29,ZCARW,0.04,0.04,0.0303,0.0303,27304.0
2024-03-01,ZCARW,0.03935,0.049,0.03935,0.049,9720.0
2024-03-04,ZCARW,0.048,0.049,0.0325,0.049,13550.0
2024-03-05,ZCARW,0.033401,0.0475,0.0325,0.0328,7985.0
2024-03-06,ZCARW,0.0339,0.0478,0.0253,0.0474,23965.0
2024-03-08,ZCARW,0.0355,0.0356,0.0355,0.0356,246.0
2024-03-12,ZCARW,0.0355,0.0356,0.0333,0.0333,4061.0
2024-03-13,ZCARW,0.0486,0.049,0.0333,0.0333,4581.0
2024-03-15,ZCARW,0.04,0.0489,0.0343,0.0343,13552.0
2024-03-18,ZCARW,0.041649,0.049,0.0343,0.0343,3438.0
2024-03-19,ZCARW,0.054,0.054,0.035,0.035,90188.0
2024-03-20,ZCARW,0.0313,0.0313,0.031,0.0311,11160.0
2024-03-22,ZCARW,0.0388,0.0421,0.035,0.035,3400.0
2024-03-25,ZCARW,0.0399,0.0448,0.035,0.035,9503.0
2024-03-27,ZCARW,0.035,0.035,0.0283,0.0283,6975.0
2024-03-28,ZCARW,0.0284,0.03,0.0284,0.0285,5284.0
2024-04-01,ZCARW,0.0293,0.0293,0.0293,0.0293,793.0
2024-04-02,ZCARW,0.034,0.0343,0.0285,0.0285,4021.0
2024-04-03,ZCARW,0.0325,0.035,0.0325,0.035,6204.0
2024-04-04,ZCARW,0.03501,0.0351,0.035,0.035,16394.0
2024-04-08,ZCARW,0.035,0.035,0.0283,0.0283,2177.0
2024-04-15,ZCARW,0.0396,0.04,0.0202,0.0205,14714.0
2024-04-16,ZCARW,0.0396,0.04,0.0213,0.0213,4935.0
2024-04-17,ZCARW,0.0214,0.0214,0.0152,0.0156,16933.0
2024-04-19,ZCARW,0.02,0.039,0.0156,0.0156,20736.0
2024-04-22,ZCARW,0.038,0.0395,0.016,0.038,2103.0
2024-04-23,ZCARW,0.0375,0.0378,0.0165,0.0172,1498.0
2024-04-24,ZCARW,0.0174,0.0175,0.0174,0.0175,1600.0
2024-04-25,ZCARW,0.0175,0.0175,0.0175,0.0175,959.0
2024-04-29,ZCARW,0.0165,0.0165,0.0165,0.0165,2001.0
2024-05-01,ZCARW,0.037,0.0375,0.0166,0.0167,4521.0
2024-05-02,ZCARW,0.0366,0.0369,0.0167,0.0167,1405.0
2024-05-07,ZCARW,0.018,0.018,0.018,0.018,360.0
2024-05-08,ZCARW,0.02,0.02,0.0167,0.0167,500.0
2024-05-09,ZCARW,0.0167,0.0347,0.011,0.011,26439.0
2024-05-16,ZCARW,0.0346,0.034948,0.0177,0.018,17015.0
2024-05-17,ZCARW,0.0347,0.0421,0.0347,0.042,13239.0
2024-05-20,ZCARW,0.0219,0.0219,0.0151,0.0161,11049.0
2024-05-21,ZCARW,0.0369,0.04,0.0152,0.0153,26558.0
2024-05-22,ZCARW,0.0153,0.0155,0.0153,0.015353,5276.0
2024-05-23,ZCARW,0.0198,0.0389,0.0196,0.02245,31425.0
2024-05-24,ZCARW,0.02,0.0201,0.0151,0.0151,15008.0
2024-05-28,ZCARW,0.0198,0.0378,0.0152,0.0152,39969.0
2024-05-29,ZCARW,0.0202,0.0202,0.0155,0.0155,2836.0
2024-05-30,ZCARW,0.0156,0.0197,0.0135,0.014858,36420.0
2024-05-31,ZCARW,0.015,0.018,0.0121,0.0165,25026.0
2024-06-03,ZCARW,0.02,0.02,0.0189,0.019,13530.0
2024-06-04,ZCARW,0.0112,0.0149,0.0111,0.0119,28382.0
2024-06-05,ZCARW,0.0149,0.0184,0.014,0.0151,14526.0
2024-06-07,ZCARW,0.0187,0.0188,0.0115,0.0116,17024.0
2024-06-10,ZCARW,0.0144,0.015,0.0121,0.0124,4980.0
2024-06-11,ZCARW,0.0123,0.0134,0.0123,0.0134,3066.0
2024-06-12,ZCARW,0.0124,0.0124,0.0121,0.0122,21620.0
2024-06-13,ZCARW,0.0127,0.0177,0.0103,0.0104,28041.0
2024-06-14,ZCARW,0.0129,0.013,0.0129,0.0129,6069.0
2024-06-17,ZCARW,0.02,0.02,0.015,0.0181,25950.0
2024-06-18,ZCARW,0.0104,0.0149,0.0101,0.0105,26675.0
