Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,ZI,31.46,33.07,31.09,32.56,5238791.0
2022-11-14,ZI,32.05,32.6,31.265,31.34,3063852.0
2022-11-15,ZI,32.43,32.8,31.605,31.69,3862520.0
2022-11-16,ZI,31.0,31.29,23.29,27.17,23417335.0
2022-11-17,ZI,26.19,26.27,24.63,26.17,16373664.0
2022-11-18,ZI,26.72,26.93,25.89,26.61,5071098.0
2022-11-21,ZI,26.68,27.605,26.2599,27.51,5313594.0
2022-11-22,ZI,27.24,27.53,26.16,27.36,3323998.0
2022-11-23,ZI,27.5,28.72,27.26,28.07,2454178.0
2022-11-25,ZI,27.74,28.36,27.38,27.8,2059419.0
2022-11-28,ZI,27.405,27.85,27.045,27.23,2301091.0
2022-11-29,ZI,27.32,27.46,26.355,26.53,4247960.0
2022-11-30,ZI,26.36,28.65,26.14,28.6,6651741.0
2022-12-01,ZI,28.53,29.25,28.24,28.91,4341921.0
2022-12-02,ZI,27.88,29.39,27.88,29.27,3937637.0
2022-12-05,ZI,28.82,29.55,28.22,28.7,5237122.0
2022-12-06,ZI,28.84,28.945,27.62,27.97,3208105.0
2022-12-07,ZI,28.01,28.6943,27.92,28.33,3865901.0
2022-12-08,ZI,28.67,29.52,28.18,28.5,4163380.0
2022-12-09,ZI,28.4,29.255,28.37,29.04,4205969.0
2022-12-12,ZI,29.01,30.57,28.91,30.19,4391713.0
2022-12-13,ZI,32.07,32.4066,30.61,31.07,5362617.0
2022-12-14,ZI,30.71,31.66,30.71,31.36,4317790.0
2022-12-15,ZI,30.46,30.91,29.75,29.94,4767504.0
2022-12-16,ZI,29.95,30.18,29.48,29.8,4492477.0
2022-12-19,ZI,29.48,29.68,27.6,27.94,6611921.0
2022-12-20,ZI,27.56,29.05,27.56,28.73,3159044.0
2022-12-21,ZI,28.84,29.705,28.35,29.31,3617764.0
2022-12-22,ZI,28.74,28.98,28.15,28.95,3470178.0
2022-12-23,ZI,28.76,28.875,28.11,28.8,2623656.0
2022-12-27,ZI,28.55,28.91,27.82,28.55,2714976.0
2022-12-28,ZI,28.11,28.71,28.1035,28.43,3248317.0
2022-12-29,ZI,29.0,30.4,28.61,30.15,2575593.0
2022-12-30,ZI,29.55,30.27,29.28,30.11,2859358.0
2023-01-03,ZI,30.67,31.05,29.41,29.44,3246558.0
2023-01-04,ZI,28.46,28.57,27.6,27.77,8282035.0
2023-01-05,ZI,27.47,27.47,25.39,25.93,8553712.0
2023-01-06,ZI,26.04,26.09,24.685,25.11,9252318.0
2023-01-09,ZI,25.19,26.155,24.845,25.98,9617861.0
2023-01-10,ZI,25.39,26.295,24.93,25.47,9929976.0
2023-01-11,ZI,25.78,26.475,25.42,26.43,8743085.0
2023-01-12,ZI,26.27,26.48,25.13,25.73,5210234.0
2023-01-13,ZI,25.65,26.075,25.04,26.01,3474943.0
2023-01-17,ZI,26.03,26.63,25.51,26.39,7029614.0
2023-01-18,ZI,26.56,26.96,26.105,26.26,3849048.0
2023-01-19,ZI,25.84,26.23,25.52,25.63,2430936.0
2023-01-20,ZI,25.75,26.23,25.6,25.89,6395596.0
2023-01-23,ZI,25.9,27.18,25.74,27.0,3400919.0
2023-01-24,ZI,26.49,27.25,26.42,26.73,2364193.0
2023-01-25,ZI,25.89,26.42,25.02,26.19,3030527.0
2023-01-26,ZI,26.89,27.54,26.39,27.5,3222151.0
2023-01-27,ZI,27.3,27.96,27.12,27.61,3537401.0
2023-01-30,ZI,27.26,27.7,26.92,27.39,2490051.0
2023-01-31,ZI,27.5,28.24,27.385,28.23,3166194.0
2023-02-01,ZI,27.63,28.58,27.27,28.395,9444415.0
2023-02-02,ZI,29.59,30.26,28.99,30.12,5235832.0
2023-02-03,ZI,28.92,29.95,28.835,29.07,4621911.0
2023-02-06,ZI,28.68,29.32,28.47,28.72,8303856.0
2023-02-07,ZI,26.54,30.98,26.18,30.24,16607689.0
2023-02-08,ZI,29.895,30.0,27.89,28.05,8602581.0
