Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,ZTAQU,9.89,9.89,9.87,9.88,12845
2022-11-17,ZTAQU,9.88,9.88,9.88,9.88,450
2022-11-28,ZTAQU,9.88,9.88,9.88,9.88,100
2022-11-29,ZTAQU,9.935,9.935,9.88,9.88,204
2022-11-30,ZTAQU,9.94,9.95,9.93,9.93,27866
2022-12-01,ZTAQU,9.96,9.99,9.95,9.98,22613
2022-12-02,ZTAQU,9.88,9.9608,9.88,9.9608,10890
2022-12-08,ZTAQU,10.0,10.0,10.0,10.0,2166
2022-12-12,ZTAQU,9.96,9.99,9.96,9.99,6800
2022-12-13,ZTAQU,9.96,9.96,9.96,9.96,502
2022-12-14,ZTAQU,9.97,9.99,9.97,9.99,40168
2022-12-15,ZTAQU,10.03,10.03,10.03,10.03,204
2022-12-16,ZTAQU,10.05,10.05,10.05,10.05,611
2022-12-19,ZTAQU,10.07,10.08,10.07,10.08,4277
2022-12-21,ZTAQU,10.02,10.02,9.98,9.98,3225
2022-12-28,ZTAQU,10.0,10.0,10.0,10.0,215
2022-12-29,ZTAQU,10.0,10.01,10.0,10.01,1123
2022-12-30,ZTAQU,9.895,9.895,9.895,9.895,355
2023-01-03,ZTAQU,9.96,9.96,9.96,9.96,204
2023-01-04,ZTAQU,10.03,10.05,9.96,9.9996,6500
2023-01-11,ZTAQU,9.99,9.99,9.98,9.98,378
2023-01-17,ZTAQU,9.99,9.99,9.99,9.99,105
2023-01-23,ZTAQU,10.02,10.02,10.02,10.02,564
2023-01-25,ZTAQU,10.02,10.02,10.02,10.02,100
2023-01-26,ZTAQU,10.06,10.06,10.06,10.06,100
2023-01-27,ZTAQU,10.05,10.05,10.05,10.05,100
2023-01-30,ZTAQU,10.03,10.03,10.03,10.03,199
2023-01-31,ZTAQU,10.05,10.05,10.05,10.05,100
2023-02-01,ZTAQU,10.05,10.1,10.05,10.1,3821
2023-02-02,ZTAQU,10.21,10.21,10.21,10.21,325
2023-02-03,ZTAQU,10.19,10.19,10.08,10.08,800
2023-02-07,ZTAQU,10.08,10.1,10.08,10.1,450
2023-02-08,ZTAQU,10.14,10.545,10.11,10.11,1868
2023-02-09,ZTAQU,10.15,10.16,10.09,10.0901,800
2023-02-10,ZTAQU,10.16,10.625,10.1001,10.625,400
2023-02-21,ZTAQU,10.08,10.08,10.08,10.08,100
2023-02-22,ZTAQU,10.1,10.1001,10.1,10.1,300
2023-02-27,ZTAQU,10.11,10.11,10.11,10.11,5100
2023-03-02,ZTAQU,10.81,10.81,10.12,10.12,2038
2023-03-03,ZTAQU,10.16,10.2771,10.16,10.2771,1000
2023-03-13,ZTAQU,10.05,10.05,10.05,10.05,100
2023-03-14,ZTAQU,10.1,10.1,10.1,10.1,100
2023-03-15,ZTAQU,10.14,10.14,10.14,10.14,100
2023-03-16,ZTAQU,10.14,10.14,10.14,10.14,1100
2023-03-24,ZTAQU,10.14,10.14,10.14,10.14,100
2023-03-27,ZTAQU,10.15,10.15,10.15,10.15,100
2023-03-28,ZTAQU,10.14,10.14,10.14,10.14,100
2023-03-29,ZTAQU,10.16,10.16,10.16,10.16,200
2023-03-30,ZTAQU,10.22,10.3319,10.18,10.18,600
2023-04-03,ZTAQU,10.09,10.09,10.09,10.09,5890
2023-04-05,ZTAQU,10.22,10.5012,10.18,10.18,1250
2023-04-14,ZTAQU,10.63,10.63,10.19,10.19,589
2023-04-17,ZTAQU,10.19,10.19,10.16,10.17,959
2023-04-25,ZTAQU,10.19,10.19,10.16,10.17,4728
2023-05-01,ZTAQU,10.19,10.19,10.19,10.19,4779
2023-05-03,ZTAQU,10.19,10.24,10.16,10.2,7005
2023-05-04,ZTAQU,10.24,10.24,10.2101,10.22,400
2023-05-12,ZTAQU,10.26,10.26,10.17,10.17,1100
2023-05-15,ZTAQU,10.28,10.28,10.28,10.28,600
2023-05-16,ZTAQU,10.26,10.6507,10.23,10.2301,800
2023-05-17,ZTAQU,10.23,10.27,10.22,10.27,20600
2023-05-18,ZTAQU,10.26,10.27,10.22,10.27,1850
2023-05-19,ZTAQU,10.27,10.27,10.23,10.23,1150
2023-05-23,ZTAQU,10.29,10.29,10.29,10.29,450
2023-05-24,ZTAQU,10.2943,10.715,10.22,10.715,1300
2023-05-25,ZTAQU,10.26,10.6999,10.22,10.2201,2003
2023-05-26,ZTAQU,10.6,10.6,10.2201,10.2201,1505
2023-05-30,ZTAQU,10.26,10.27,10.2201,10.2201,1000
2023-05-31,ZTAQU,10.26,10.27,10.2201,10.27,831
2023-06-01,ZTAQU,10.26,10.27,10.2201,10.2201,850
2023-06-02,ZTAQU,10.26,10.3838,10.23,10.23,810
2023-06-05,ZTAQU,10.22,10.22,10.22,10.22,235
2023-06-06,ZTAQU,10.28,10.366,10.23,10.23,1400
2023-06-08,ZTAQU,10.26,10.73,10.22,10.23,154511
2023-06-09,ZTAQU,10.68,10.68,10.68,10.68,337
2023-06-12,ZTAQU,10.28,10.28,10.28,10.28,500
2023-06-13,ZTAQU,10.23,10.25,10.21,10.24,8528
2023-06-14,ZTAQU,10.24,10.24,10.23,10.24,488
2023-06-15,ZTAQU,10.23,10.23,10.23,10.23,135
