Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,ZTST,40.17,40.17,40.17,40.17,0
2022-11-14,ZTST,40.17,40.17,40.17,40.17,0
2022-11-15,ZTST,40.17,40.17,40.17,40.17,0
2022-11-16,ZTST,40.17,40.17,40.17,40.17,0
2022-11-17,ZTST,40.17,40.17,40.17,40.17,0
2022-11-18,ZTST,40.17,40.17,40.17,40.17,0
2022-11-21,ZTST,40.17,40.17,40.17,40.17,0
2022-11-22,ZTST,40.17,40.17,40.17,40.17,0
2022-11-23,ZTST,40.17,40.17,40.17,40.17,0
2022-11-25,ZTST,40.17,40.17,40.17,40.17,0
2022-11-28,ZTST,40.17,40.17,40.17,40.17,0
2022-11-29,ZTST,40.17,40.17,40.17,40.17,0
2022-11-30,ZTST,40.17,40.17,40.17,40.17,0
2022-12-01,ZTST,40.17,40.17,40.17,40.17,0
2022-12-02,ZTST,40.17,40.17,40.17,40.17,0
2022-12-05,ZTST,40.17,40.17,40.17,40.17,0
2022-12-06,ZTST,40.17,40.17,40.17,40.17,0
2022-12-07,ZTST,40.17,40.17,40.17,40.17,0
2022-12-08,ZTST,40.17,40.17,40.17,40.17,0
2022-12-09,ZTST,40.17,40.17,40.17,40.17,0
2022-12-12,ZTST,40.17,40.17,40.17,40.17,0
2022-12-13,ZTST,40.17,40.17,40.17,40.17,0
2022-12-14,ZTST,40.17,40.17,40.17,40.17,0
2022-12-15,ZTST,40.17,40.17,40.17,40.17,0
2022-12-16,ZTST,40.17,40.17,40.17,40.17,0
2022-12-19,ZTST,40.17,40.17,40.17,40.17,0
2022-12-20,ZTST,40.17,40.17,40.17,40.17,0
2022-12-21,ZTST,40.17,40.17,40.17,40.17,0
2022-12-22,ZTST,40.17,40.17,40.17,40.17,0
2022-12-23,ZTST,40.17,40.17,40.17,40.17,0
2022-12-27,ZTST,40.17,40.17,40.17,40.17,0
2022-12-28,ZTST,40.17,40.17,40.17,40.17,0
2022-12-29,ZTST,40.17,40.17,40.17,40.17,0
2022-12-30,ZTST,40.17,40.17,40.17,40.17,0
2023-01-03,ZTST,40.17,40.17,40.17,40.17,0
2023-01-04,ZTST,40.17,40.17,40.17,40.17,0
2023-01-05,ZTST,40.17,40.17,40.17,40.17,0
2023-01-06,ZTST,40.17,40.17,40.17,40.17,0
2023-01-09,ZTST,40.17,40.17,40.17,40.17,0
2023-01-10,ZTST,40.17,40.17,40.17,40.17,0
2023-01-11,ZTST,40.17,40.17,40.17,40.17,0
2023-01-12,ZTST,40.17,40.17,40.17,40.17,0
2023-01-13,ZTST,40.17,40.17,40.17,40.17,0
2023-01-17,ZTST,40.17,40.17,40.17,40.17,0
2023-01-18,ZTST,40.17,40.17,40.17,40.17,0
2023-01-19,ZTST,40.17,40.17,40.17,40.17,0
2023-01-20,ZTST,40.17,40.17,40.17,40.17,0
2023-01-23,ZTST,40.17,40.17,40.17,40.17,0
2023-01-24,ZTST,40.17,40.17,40.17,40.17,0
2023-01-25,ZTST,40.17,40.17,40.17,40.17,0
2023-01-26,ZTST,40.17,40.17,40.17,40.17,0
2023-01-27,ZTST,40.17,40.17,40.17,40.17,0
2023-01-30,ZTST,40.17,40.17,40.17,40.17,0
2023-01-31,ZTST,40.17,40.17,40.17,40.17,0
2023-02-01,ZTST,40.17,40.17,40.17,40.17,0
2023-02-02,ZTST,40.17,40.17,40.17,40.17,0
2023-02-03,ZTST,40.17,40.17,40.17,40.17,0
2023-02-06,ZTST,40.17,40.17,40.17,40.17,0
2023-02-07,ZTST,40.17,40.17,40.17,40.17,0
2023-02-08,ZTST,40.17,40.17,40.17,40.17,0
2023-02-09,ZTST,40.17,40.17,40.17,40.17,0
2023-02-10,ZTST,40.17,40.17,40.17,40.17,0
2023-02-13,ZTST,40.17,40.17,40.17,40.17,0
2023-02-14,ZTST,40.17,40.17,40.17,40.17,0
2023-02-15,ZTST,40.17,40.17,40.17,40.17,0
2023-02-16,ZTST,40.17,40.17,40.17,40.17,0
2023-02-17,ZTST,40.17,40.17,40.17,40.17,0
2023-02-21,ZTST,40.17,40.17,40.17,40.17,0
2023-02-22,ZTST,40.17,40.17,40.17,40.17,0
2023-02-23,ZTST,40.17,40.17,40.17,40.17,0
2023-02-24,ZTST,40.17,40.17,40.17,40.17,0
2023-02-27,ZTST,40.17,40.17,40.17,40.17,0
2023-02-28,ZTST,40.17,40.17,40.17,40.17,0
2023-03-01,ZTST,40.17,40.17,40.17,40.17,0
2023-03-02,ZTST,40.17,40.17,40.17,40.17,0
2023-03-03,ZTST,40.17,40.17,40.17,40.17,0
2023-03-06,ZTST,40.17,40.17,40.17,40.17,0
2023-03-07,ZTST,40.17,40.17,40.17,40.17,0
2023-03-08,ZTST,40.17,40.17,40.17,40.17,0
2023-03-09,ZTST,40.17,40.17,40.17,40.17,0
2023-03-10,ZTST,40.17,40.17,40.17,40.17,0
2023-03-13,ZTST,40.17,40.17,40.17,40.17,0
2023-03-14,ZTST,40.17,40.17,40.17,40.17,0
2023-03-15,ZTST,40.17,40.17,40.17,40.17,0
2023-03-16,ZTST,40.17,40.17,40.17,40.17,0
2023-03-17,ZTST,40.17,40.17,40.17,40.17,0
2023-03-20,ZTST,40.17,40.17,40.17,40.17,0
2023-03-21,ZTST,40.17,40.17,40.17,40.17,0
2023-03-22,ZTST,40.17,40.17,40.17,40.17,0
2023-03-23,ZTST,40.17,40.17,40.17,40.17,0
2023-03-24,ZTST,40.17,40.17,40.17,40.17,0
2023-03-27,ZTST,40.17,40.17,40.17,40.17,0
2023-03-28,ZTST,40.17,40.17,40.17,40.17,0
2023-03-29,ZTST,40.17,40.17,40.17,40.17,0
2023-03-30,ZTST,40.17,40.17,40.17,40.17,0
2023-03-31,ZTST,40.17,40.17,40.17,40.17,0
2023-04-03,ZTST,40.17,40.17,40.17,40.17,0
2023-04-04,ZTST,40.17,40.17,40.17,40.17,0
2023-04-05,ZTST,40.17,40.17,40.17,40.17,0
2023-04-06,ZTST,40.17,40.17,40.17,40.17,0
2023-04-10,ZTST,40.17,40.17,40.17,40.17,0
2023-04-11,ZTST,40.17,40.17,40.17,40.17,0
